cbsa_code,metro_name,state_code,total_count,pubHS_count,privHS_count,cc_count,other_count
35620,"New York, Newark, Jersey City","NY, NJ, PA",607,463,64,38,42
14460,"Boston, Cambridge, Newton","MA, NH",63,49,10,0,4
37980,"Philadelphia, Camden, Wilmington","PA, NJ, DE, MD",60,38,18,1,3
25540,"Hartford, West Hartford, East Hartford",CT,57,45,11,0,1
35300,"New Haven, Milford",CT,44,35,8,0,1
47900,"Washington, Arlington, Alexandria","DC, VA, MD, WV",42,35,2,0,5
14860,"Bridgeport, Stamford, Norwalk",CT,40,28,8,0,4
12060,"Atlanta, Sandy Springs, Roswell",GA,34,24,1,0,9
12580,"Baltimore, Columbia, Towson",MD,27,21,3,2,1
33100,"Miami, Fort Lauderdale, West Palm Beach",FL,15,8,2,0,5
45860,Torrington,CT,14,7,7,0,0
35980,"Norwich, New London",CT,12,11,1,0,0
49340,Worcester,"MA, CT",12,7,4,0,1
45300,"Tampa, St. Petersburg, Clearwater",FL,11,6,4,0,1
37340,"Palm Bay, Melbourne, Titusville",FL,7,7,0,0,0
20700,East Stroudsburg,PA,6,6,0,0,0
28740,Kingston,NY,5,5,0,0,0
36740,"Orlando, Kissimmee, Sanford",FL,4,3,0,0,1
16980,"Chicago, Naperville, Elgin","IL, IN, WI",4,3,0,0,1
39300,"Providence, Warwick","RI, MA",4,0,1,0,3
10900,"Allentown, Bethlehem, Easton","PA, NJ",4,4,0,0,0
45940,Trenton,NJ,4,3,0,0,1
41540,Salisbury,"MD, DE",4,4,0,0,0
42540,"Scranton, Wilkes-Barre, Hazleton",PA,3,2,1,0,0
20100,Dover,DE,3,3,0,0,0
44140,Springfield,MA,2,0,0,0,2
29540,Lancaster,PA,2,1,1,0,0
12700,Barnstable Town,MA,1,1,0,0,0
27600,Jefferson,GA,1,1,0,0,0
38340,Pittsfield,MA,1,1,0,0,0
23580,Gainesville,GA,1,0,0,1,0
38860,"Portland, South Portland",ME,1,1,0,0,0
